id,name,lat,lon,off_or_on_street,capacity
606032,Pine St (300-398),undefined,undefined,ON,13
606041,Pine St (401-499),undefined,undefined,ON,12
606042,Pine St (400-448),undefined,undefined,ON,12
606231,Pine St (2301-2799),undefined,undefined,ON,3
606232,Pine St (2300-2398),undefined,undefined,ON,1
607321,Pierce St (3201-3299),undefined,undefined,ON,9
607322,Pierce St (3200-3298),undefined,undefined,ON,1
607331,Pierce St (3301-3337),undefined,undefined,ON,1
607332,Pierce St (3300-3330),undefined,undefined,ON,3
608012,Pixley St (100-198),undefined,undefined,ON,4
608022,Pixley St (200-298),undefined,undefined,ON,5
612001,Polk St (1-99),undefined,undefined,ON,4
612011,Polk St (141-199),undefined,undefined,ON,3
612012,Polk St (100-198),undefined,undefined,ON,6
612032,Polk St (300-398),undefined,undefined,ON,8
612311,Polk St (3101-3199),undefined,undefined,ON,3
612312,Polk St (3100-3198),undefined,undefined,ON,4
614001,Post St (1-99),undefined,undefined,ON,11
614002,Post St (2-98),undefined,undefined,ON,16
614161,Post St (1601-1699),undefined,undefined,ON,6
614162,Post St (1600-1698),undefined,undefined,ON,10
614171,Post St (1701-1799),undefined,undefined,ON,9
614172,Post St (1700-1798),undefined,undefined,ON,13
614181,Post St (1801-1899),undefined,undefined,ON,4
614182,Post St (1800-1898),undefined,undefined,ON,10
614191,Post St (1901-1999),undefined,undefined,ON,5
614192,Post St (1900-1998),undefined,undefined,ON,8
616241,Powell St (2401-2499),undefined,undefined,ON,5
640011,Redwood St (101-199),undefined,undefined,ON,8
644032,Ritch St (300-398),undefined,undefined,ON,15
650011,Sacramento St (101-199),undefined,undefined,ON,7
650021,Sacramento St (201-299),undefined,undefined,ON,9
650031,Sacramento St (301-399),undefined,undefined,ON,10
650041,Sacramento St (401-499),undefined,undefined,ON,11
650051,Sacramento St (501-599),undefined,undefined,ON,14
650241,Sacramento St (2401-2449),undefined,undefined,ON,1
650242,Sacramento St (2400-2498),undefined,undefined,ON,7
650251,Sacramento St (2501-2599),undefined,undefined,ON,4
650252,Sacramento St (2500-2598),undefined,undefined,ON,1
651001,Sansome St (1-99),undefined,undefined,ON,2
651011,Sansome St (101-199),undefined,undefined,ON,10
651012,Sansome St (100-198),undefined,undefined,ON,5
651021,Sansome St (201-299),undefined,undefined,ON,11
651022,Sansome St (200-298),undefined,undefined,ON,6
651031,Sansome St (343-399),undefined,undefined,ON,5
651032,Sansome St (300-398),undefined,undefined,ON,9
651041,Sansome St (401-449),undefined,undefined,ON,5
651042,Sansome St (450-498),undefined,undefined,ON,6
651051,Sansome St (501-599),undefined,undefined,ON,2
651052,Sansome St (500-598),undefined,undefined,ON,2
